,Unnamed: 0,Date,AAL,PDR,VAR,AVG,VAR60,VAR80,VAR85,VAR70,VAR99
0,0,1/2/2020,29.09,,,,,,,,
1,1,1/3/2020,27.65,-0.050768745,0.0,-0.050768745,,,,,
2,2,1/6/2020,27.32,-0.012006693,0.000375624,-0.031387719,,,,,
3,3,1/7/2020,27.219999,-0.003667074,0.000421179,-0.022147504,,,,,
4,4,1/8/2020,27.84,0.022521875,0.000690013,-0.010980159,,,,,
5,5,1/9/2020,27.950001,0.0039434,0.000587645,-0.007995447,,,,,
6,6,1/10/2020,27.32,-0.022798201,0.000520137,-0.010462573,,,,,
7,7,1/13/2020,27.389999,0.002558912,0.000466594,-0.008602361,,,,,
8,8,1/14/2020,27.530001,0.005098409,0.000428801,-0.006889765,,,,,
9,9,1/15/2020,27.58,0.001814517,0.000388639,-0.005922622,,,,,
10,10,1/16/2020,28.23,0.02329437,0.000426602,-0.003000923,,,,,
11,11,1/17/2020,28.4,0.006003903,0.000394522,-0.002182302,,,,,
12,12,1/21/2020,27.200001,-0.043172135,0.000489991,-0.005598122,,,,,
13,13,1/22/2020,27.32,0.004402025,0.0004594,-0.00482888,,,,,
14,14,1/23/2020,28.799999,0.052756318,0.000646528,-0.000715651,,,,,
15,15,1/24/2020,27.639999,-0.04111139,0.000704962,-0.003408701,,,,,
16,16,1/27/2020,26.110001,-0.056945542,0.000828842,-0.006754753,,,,,
17,17,1/28/2020,26.9,0.029807866,0.000854098,-0.004604011,,,,,
18,18,1/29/2020,26.799999,-0.003724436,0.000806689,-0.004555146,,,,,
19,19,1/30/2020,27.719999,0.033752288,0.000837401,-0.002538965,,,,,
20,20,1/31/2020,26.84,-0.032260826,0.000837492,-0.004025058,,,,,
21,21,2/3/2020,27.16,0.011851991,0.000809044,-0.003269008,,,,,
22,22,2/4/2020,28.43,0.045699623,0.000876311,-0.001043161,,,,,
23,23,2/5/2020,29.1,0.023293249,0.000862842,1.49e-05,,,,,
24,24,2/6/2020,28.299999,-0.027876405,0.000857953,-0.001147196,,,,,
25,25,2/7/2020,28.379999,0.002822867,0.00082424,-0.000988393,,,,,
26,26,2/10/2020,28.790001,0.014343503,0.000801232,-0.000398705,,,,,
27,27,2/11/2020,29.84,0.035821636,0.000818346,0.000942789,,,,,
28,28,2/12/2020,30.469999,0.020892785,0.000802827,0.001655289,,,,,
29,29,2/13/2020,30.09,-0.01254967,0.000781861,0.001165463,,,,,
30,30,2/14/2020,29.200001,-0.030024147,0.000787144,0.000125809,,,,,
31,31,2/18/2020,28.629999,-0.019713659,0.00077404,-0.000514174,,,,,
32,32,2/19/2020,28.33,-0.01053377,0.00075289,-0.000827286,,,,,
33,33,2/20/2020,28.51,0.006333589,0.000731582,-0.00061029,,,,,
34,34,2/21/2020,27.82,-0.024499716,0.000726357,-0.00131292,,,,,
35,35,2/24/2020,25.450001,-0.089039404,0.000919205,-0.003819391,,,,,
36,36,2/25/2020,23.120001,-0.096017695,0.001123239,-0.006380455,,,,,
37,37,2/26/2020,22.309999,-0.035663123,0.001115429,-0.007171879,,,,,
38,38,2/27/2020,20.6,-0.079743888,0.001221026,-0.009081668,,,,,
39,39,2/28/2020,19.049999,-0.078224027,0.001309156,-0.010854549,,,,,
40,40,3/2/2020,18.860001,-0.010023719,0.001276444,-0.010833778,,,,,
41,41,3/3/2020,17.85,-0.055039822,0.001291811,-0.011911975,,,,,
42,42,3/4/2020,18.530001,0.037387586,0.001317544,-0.010738176,,,,,
43,43,3/5/2020,16.040001,-0.144305429,0.001692143,-0.013844391,,,,,
44,44,3/6/2020,15.97,-0.004373703,0.001655678,-0.013629148,,,,,
45,45,3/9/2020,14.75,-0.079468879,0.001713075,-0.015092253,,,,,
46,46,3/10/2020,17.0,0.141970261,0.00220045,-0.011677851,,,,,
47,47,3/11/2020,16.26,-0.04450524,0.002176073,-0.012376306,,,,,
48,48,3/12/2020,13.45,-0.189728998,0.002772377,-0.016071153,,,,,
49,49,3/13/2020,14.31,0.061979488,0.002837585,-0.014478283,,,,,
50,50,3/16/2020,15.92,0.106617587,0.003068252,-0.012056366,,,,,
51,51,3/17/2020,15.58,-0.02158814,0.003009837,-0.012243263,,,,,
52,52,3/18/2020,11.65,-0.29068186,0.004414208,-0.017597852,,,,,
53,53,3/19/2020,10.29,-0.12413363,0.004541029,-0.019607961,,,,,
54,54,3/20/2020,10.38,0.008708328,0.004471509,-0.019083585,,,,,
55,55,3/23/2020,10.25,-0.012603172,0.004390959,-0.018965759,,,,,
56,56,3/24/2020,13.92,0.306048949,0.006165196,-0.013161925,,,,,
57,57,3/25/2020,15.39,0.100391293,0.006279282,-0.011169764,,,,,
58,58,3/26/2020,15.66,0.017391743,0.006184841,-0.010677324,,,,,
59,59,3/27/2020,14.04,-0.109199292,0.006241743,-0.012347188,,,,,
60,60,3/30/2020,12.25,-0.136384462,0.006389861,-0.014414476,,,,,
61,61,3/31/2020,12.19,-0.004909993,0.006286566,-0.014258664,,,,,
62,62,4/1/2020,10.69,-0.131307218,0.006402579,-0.016146544,,,,,
63,63,4/2/2020,10.06,-0.06074156,0.006332017,-0.016854402,,,,,
64,64,4/3/2020,9.39,-0.068921871,0.006274777,-0.017667956,9.662846890780523,9.221781492508107,9.082376085006569,9.459579541939243,8.197142579276855
65,65,4/6/2020,9.5,0.011646505,0.006191259,-0.017216964,9.01410057773586,8.60350172727941,8.47198896495667,8.823771161542043,7.647754182628107
66,66,4/7/2020,10.22,0.073054786,0.006219051,-0.01584921,9.124501812560576,8.710714095956144,8.577995306726226,8.930925778456036,7.751898876339521
67,67,4/8/2020,11.33,0.10310749,0.006334281,-0.014073737,9.82922372469844,9.386094128038376,9.242154734413688,9.622899268865396,8.349431096952594
68,68,4/9/2020,12.51,0.099074249,0.006426633,-0.012409796,10.914729491915852,10.415355191107208,10.25609243613502,10.681366783213008,9.254711552473443
69,69,4/13/2020,11.56,-0.078977461,0.006396784,-0.013374545,12.069118363635036,11.511939105203734,11.331215808210969,11.809134479018052,10.220309184312946
70,70,4/14/2020,11.95,0.033180415,0.006335921,-0.012709474,11.14174266009578,10.631932705846811,10.466537213229435,10.90340377748531,9.44551494323774
71,71,4/15/2020,12.29,0.028054645,0.006269757,-0.012135332,11.526204094659493,10.99978173782496,10.83018107986598,11.27929612628508,9.773534637573325
