,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,87.309998,,,,,,
1,1/3/2020,87.18,-0.001490034,0.0,-0.001490034,,,
2,1/6/2020,87.910004,0.008338663,2.42e-05,0.003424315,,,
3,1/7/2020,88.410004,0.005671521,1.72e-05,0.004173383,,,
4,1/8/2020,88.650002,0.002710924,1.33e-05,0.003807769,,,
5,1/9/2020,89.370003,0.008089034,1.36e-05,0.004664022,,,
6,1/10/2020,90.650002,0.01422087,2.4e-05,0.00625683,,,
7,1/13/2020,91.260002,0.006706638,2.06e-05,0.006321088,,,
8,1/14/2020,90.470001,-0.008694282,4.27e-05,0.004444167,,,
9,1/15/2020,88.919998,-0.017281248,8.46e-05,0.002030232,,,
10,1/16/2020,88.949997,0.000337314,7.64e-05,0.00186094,,,
11,1/17/2020,89.940002,0.011068423,7.64e-05,0.002697984,,,
12,1/21/2020,90.239998,0.003329962,7.01e-05,0.002750649,,,
13,1/22/2020,89.269997,-0.010807314,7.77e-05,0.001707729,,,
14,1/23/2020,89.82,0.006142216,7.35e-05,0.002024478,,,
15,1/24/2020,89.440002,-0.004239636,7.1e-05,0.00160687,,,
16,1/27/2020,87.800003,-0.018506497,9.03e-05,0.000349785,,,
17,1/28/2020,88.889999,0.012338104,9.3e-05,0.00105498,,,
18,1/29/2020,88.120003,-0.008700083,9.28e-05,0.000513032,,,
19,1/30/2020,87.099998,-0.011642695,9.53e-05,-0.000126743,,,
20,1/31/2020,84.690002,-0.028059306,0.000127562,-0.001523371,,,
21,2/3/2020,85.260002,0.00670788,0.00012456,-0.001131407,,,
22,2/4/2020,86.690002,0.016633125,0.000132591,-0.000323928,,,
23,2/5/2020,89.5,0.031900065,0.00017001,0.001077115,,,
24,2/6/2020,88.639999,-0.009655414,0.000167526,0.000629926,,,
25,2/7/2020,87.019997,-0.018445269,0.000174797,-0.000133082,,,
26,2/10/2020,88.699997,0.019121913,0.000181785,0.000607495,,,
27,2/11/2020,89.889999,0.013326834,0.000180823,0.001078582,,,
28,2/12/2020,90.93,0.01150329,0.000178107,0.001450893,,,
29,2/13/2020,90.400002,-0.00584569,0.000173738,0.001199286,,,
30,2/14/2020,90.209999,-0.002104015,0.000168299,0.001089176,,,
31,2/18/2020,90.160004,-0.00055436,0.000162954,0.001036159,,,
32,2/19/2020,90.940002,0.008614056,0.0001596,0.001272968,,,
33,2/20/2020,91.93,0.010827447,0.000157446,0.001562498,,,
34,2/21/2020,90.260002,-0.018333001,0.000164115,0.000977336,,,
35,2/24/2020,85.5,-0.054178041,0.00024386,-0.000598532,,,
36,2/25/2020,81.889999,-0.043139505,0.00028596,-0.001780225,,,
37,2/26/2020,82.18,0.003535092,0.000278975,-0.001636568,,,
38,2/27/2020,78.309998,-0.04823668,0.000327276,-0.002862887,,,
39,2/28/2020,75.650002,-0.034557817,0.000343982,-0.003675577,,,
40,3/2/2020,79.610001,0.051022259,0.000408309,-0.002308131,,,
41,3/3/2020,76.550003,-0.039195564,0.000430728,-0.003207825,,,
42,3/4/2020,80.410004,0.049194435,0.000484297,-0.001960152,,,
43,3/5/2020,77.870003,-0.032097788,0.000493666,-0.002661027,,,
44,3/6/2020,73.82,-0.053411111,0.000539651,-0.003814438,,,
45,3/9/2020,66.870003,-0.098879217,0.000724025,-0.005926989,,,
46,3/10/2020,70.120003,0.047457622,0.000768893,-0.004766454,,,
47,3/11/2020,65.370003,-0.070144619,0.000841542,-0.006157479,,,
48,3/12/2020,55.400002,-0.165483854,0.001341844,-0.009476778,,,
49,3/13/2020,61.060001,0.097277374,0.001542293,-0.007298122,,,
50,3/16/2020,57.299999,-0.063556397,0.001573481,-0.008423288,,,
51,3/17/2020,60.32,0.051363117,0.001611341,-0.007251005,,,
52,3/18/2020,54.0,-0.110679677,0.001782119,-0.009240018,,,
53,3/19/2020,54.75,0.013793322,0.001758315,-0.008805427,,,
54,3/20/2020,51.650002,-0.058287134,0.001770255,-0.009721755,,,
55,3/23/2020,50.689999,-0.018761602,0.001739528,-0.009886115,,,
56,3/24/2020,59.200001,0.155192926,0.002186401,-0.006938275,,,
57,3/25/2020,60.560001,0.022713067,0.002163198,-0.006418076,,,
58,3/26/2020,62.880001,0.037593538,0.002158722,-0.005659256,,,
59,3/27/2020,62.470001,-0.006541707,0.002122147,-0.005674212,,,
60,3/30/2020,59.75,-0.044517267,0.002111505,-0.006321597,,,
61,3/31/2020,57.0,-0.047117923,0.002103727,-0.006990389,,,
62,4/1/2020,53.900002,-0.055920753,0.002107789,-0.007779588,,,
63,4/2/2020,52.759998,-0.021377225,0.00207722,-0.007995424,,,
64,4/3/2020,53.48,0.013554462,0.002051906,-0.007658707,51.04857761463713,49.87751837459255,47.025368877357934
