,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,3.69,,,,,,
1,1/3/2020,3.8,0.029374609,0.0,0.029374609,,,
2,1/6/2020,3.93,0.033638359,4.54e-06,0.031506484,,,
3,1/7/2020,3.95,0.005076153,0.000158266,0.022696374,,,
4,1/8/2020,3.76,-0.049296622,0.00109051,0.004698125,,,
5,1/9/2020,4.16,0.101096117,0.00235922,0.023977723,,,
6,1/10/2020,4.18,0.004796172,0.002017118,0.020780798,,,
7,1/13/2020,4.16,-0.004796172,0.001809062,0.017126945,,,
8,1/14/2020,4.19,0.00718566,0.001593739,0.015884285,,,
9,1/15/2020,4.17,-0.004784698,0.00145885,0.013587731,,,
10,1/16/2020,4.18,0.002395211,0.00132424,0.012468479,,,
11,1/17/2020,4.17,-0.002395211,0.001222113,0.011117234,,,
12,1/21/2020,4.21,0.009546612,0.001120459,0.010986349,,,
13,1/22/2020,4.31,0.023475256,0.001045344,0.011947034,,,
14,1/23/2020,4.26,-0.011668744,0.001007668,0.010260193,,,
15,1/24/2020,4.09,-0.04072419,0.001102231,0.006861234,,,
16,1/27/2020,3.79,-0.076178951,0.001437385,0.001671223,,,
17,1/28/2020,3.99,0.051425212,0.001489882,0.004597928,,,
18,1/29/2020,4.08,0.022305758,0.001423564,0.005581696,,,
19,1/30/2020,4.06,-0.004914015,0.001354132,0.00502929,,,
20,1/31/2020,3.89,-0.042773816,0.001394969,0.002639135,,,
21,2/3/2020,3.97,0.020356937,0.001342779,0.00348284,,,
22,2/4/2020,4.14,0.041929693,0.001345879,0.005230424,,,
23,2/5/2020,4.28,0.033257222,0.00132003,0.006448981,,,
24,2/6/2020,4.16,-0.028437935,0.001313628,0.004995359,,,
25,2/7/2020,3.93,-0.056875648,0.001408079,0.002520519,,,
26,2/10/2020,4.02,0.022642477,0.001368896,0.00329444,,,
27,2/11/2020,4.3,0.06733312,0.001464457,0.005666243,,,
28,2/12/2020,4.34,0.009259325,0.0014126,0.005794568,,,
29,2/13/2020,4.01,-0.079083107,0.001603745,0.002867751,,,
30,2/14/2020,4.12,0.027061922,0.001569148,0.003674224,,,
31,2/18/2020,4.02,-0.024571261,0.001543436,0.002763079,,,
32,2/19/2020,4.14,0.029413885,0.001516706,0.003595917,,,
33,2/20/2020,4.23,0.021506205,0.001480171,0.004138653,,,
34,2/21/2020,4.12,-0.02634883,0.00146317,0.003241962,,,
35,2/24/2020,4.18,0.014458083,0.001424857,0.003562423,,,
36,2/25/2020,4.1,-0.019324273,0.001399424,0.002926681,,,
37,2/26/2020,3.91,-0.0474496,0.001428336,0.00156516,,,
38,2/27/2020,3.65,-0.068810206,0.001517652,-0.000286823,,,
39,2/28/2020,4.01,0.094064074,0.001701144,0.00213243,,,
40,3/2/2020,3.8,-0.053790175,0.001734844,0.000734365,,,
41,3/3/2020,3.48,-0.087968773,0.001879759,-0.001429126,,,
42,3/4/2020,3.62,0.039441732,0.001873828,-0.00045601,,,
43,3/5/2020,3.3,-0.092551557,0.00202291,-0.002597767,,,
44,3/6/2020,3.24,-0.018349139,0.001982445,-0.002955753,,,
45,3/9/2020,3.1,-0.044171218,0.001975301,-0.003871652,,,
46,3/10/2020,2.78,-0.108951184,0.002167179,-0.00615599,,,
47,3/11/2020,2.56,-0.082443669,0.00224226,-0.007779132,,,
48,3/12/2020,2.21,-0.147014743,0.002591018,-0.010679874,,,
49,3/13/2020,2.13,-0.036870536,0.002551853,-0.011214377,,,
50,3/16/2020,1.8,-0.168335315,0.002984681,-0.014356796,,,
51,3/17/2020,1.8,0.0,0.002930121,-0.01407529,,,
52,3/18/2020,1.5,-0.182321557,0.003407665,-0.017310795,,,
53,3/19/2020,1.74,0.148420005,0.003851831,-0.014183799,,,
54,3/20/2020,1.85,0.061300526,0.003884063,-0.012785941,,,
55,3/23/2020,1.73,-0.067064231,0.003866036,-0.013772819,,,
