,Date,DIS,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,148.199997,,,,,,
1,1/3/2020,146.5,-0.011537264,0.0,-0.011537264,,,
2,1/6/2020,145.649994,-0.005818986,8.17e-06,-0.008678125,,,
3,1/7/2020,145.699997,0.00034325,2.35e-05,-0.005671,,,
4,1/8/2020,145.399994,-0.002061169,2.01e-05,-0.004768542,,,
5,1/9/2020,144.830002,-0.003927869,1.62e-05,-0.004600408,,,
6,1/10/2020,144.619995,-0.001451076,1.49e-05,-0.004075519,,,
7,1/13/2020,143.880005,-0.005129925,1.29e-05,-0.004226148,,,
8,1/14/2020,145.199997,0.009132428,3.08e-05,-0.002556326,,,
9,1/15/2020,144.320007,-0.006078977,2.86e-05,-0.002947732,,,
10,1/16/2020,145.119995,0.005527847,3.22e-05,-0.002100174,,,
11,1/17/2020,144.330002,-0.005458594,3.02e-05,-0.002405485,,,
12,1/21/2020,143.559998,-0.005349306,2.83e-05,-0.002650803,,,
13,1/22/2020,144.009995,0.003129655,2.85e-05,-0.002206153,,,
14,1/23/2020,142.199997,-0.012648211,3.37e-05,-0.002952014,,,
15,1/24/2020,140.080002,-0.015020794,4.05e-05,-0.003756599,,,
16,1/27/2020,135.899994,-0.030294425,7.93e-05,-0.005415214,,,
17,1/28/2020,138.369995,0.018011944,0.000105001,-0.004037145,,,
18,1/29/2020,136.059998,-0.01683527,0.000107761,-0.004748152,,,
19,1/30/2020,137.809998,0.01277996,0.000117409,-0.00382562,,,
20,1/31/2020,138.309998,0.003621618,0.000114173,-0.003453258,,,
21,2/3/2020,141.320007,0.021529344,0.000137041,-0.00226361,,,
22,2/4/2020,144.729996,0.023843038,0.000160384,-0.001076945,,,
23,2/5/2020,141.369995,-0.023489379,0.000174301,-0.002051398,,,
24,2/6/2020,142.699997,0.009363972,0.000172242,-0.001575758,,,
25,2/7/2020,141.020004,-0.011842751,0.0001694,-0.001986438,,,
26,2/10/2020,142.589996,0.011071599,0.00016919,-0.001484205,,,
27,2/11/2020,141.009995,-0.011142577,0.000166251,-0.001841923,,,
28,2/12/2020,141.850006,0.005939429,0.000162399,-0.001564017,,,
29,2/13/2020,140.899994,-0.006719827,0.000157684,-0.001741804,,,
30,2/14/2020,139.539993,-0.009699128,0.000154468,-0.002007048,,,
31,2/18/2020,139.139999,-0.002870635,0.000149509,-0.002034906,,,
32,2/19/2020,141.300003,0.015404698,0.000154044,-0.001489918,,,
33,2/20/2020,140.369995,-0.006603553,0.000150144,-0.001644877,,,
34,2/21/2020,138.970001,-0.010023668,0.000147732,-0.001891312,,,
35,2/24/2020,133.009995,-0.043833814,0.000192337,-0.003089669,,,
36,2/25/2020,128.190002,-0.036910722,0.000217886,-0.004029143,,,
37,2/26/2020,123.360001,-0.038406636,0.000243075,-0.004958264,,,
38,2/27/2020,118.040001,-0.044083359,0.000275902,-0.005987872,,,
39,2/28/2020,117.650002,-0.003309426,0.000269006,-0.005919194,,,
40,3/2/2020,119.980003,0.019610955,0.000278169,-0.00528094,,,
41,3/3/2020,116.449997,-0.029863117,0.000285763,-0.005880505,,,
