,Date,F,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,9.42,,,,,,
1,1/3/2020,9.21,-0.022545238,0.0,-0.022545238,,,
2,1/6/2020,9.16,-0.005443672,7.31e-05,-0.013994455,,,
3,1/7/2020,9.25,0.009777373,0.000174322,-0.006070512,,,
4,1/8/2020,9.25,0.0,0.000137651,-0.004552884,,,
5,1/9/2020,9.26,0.001080497,0.000115198,-0.003426208,,,
6,1/10/2020,9.25,-0.001080497,9.68e-05,-0.003035256,,,
7,1/13/2020,9.24,-0.001081666,8.34e-05,-0.002756172,,,
8,1/14/2020,9.29,0.005396667,8.03e-05,-0.001737067,,,
9,1/15/2020,9.19,-0.010822616,7.95e-05,-0.002746572,,,
10,1/16/2020,9.17,-0.00217865,7.16e-05,-0.00268978,,,
11,1/17/2020,9.16,-0.001091108,6.53e-05,-0.002544446,,,
12,1/21/2020,9.21,0.005443672,6.47e-05,-0.00187877,,,
13,1/22/2020,9.16,-0.005443672,6.06e-05,-0.002152993,,,
14,1/23/2020,9.14,-0.002185793,5.63e-05,-0.002155336,,,
15,1/24/2020,9.0,-0.015435808,6.35e-05,-0.003040701,,,
16,1/27/2020,8.89,-0.012297528,6.46e-05,-0.003619252,,,
17,1/28/2020,8.97,0.008958627,6.95e-05,-0.002879377,,,
18,1/29/2020,8.86,-0.012338911,7.04e-05,-0.003404907,,,
19,1/30/2020,8.84,-0.002259888,6.67e-05,-0.003344643,,,
20,1/31/2020,8.82,-0.002265007,6.34e-05,-0.003290661,,,
21,2/3/2020,8.98,0.017978012,8.09e-05,-0.002277867,,,
22,2/4/2020,9.18,0.022027322,0.000102892,-0.001173086,,,
23,2/5/2020,8.31,-0.099567596,0.000501051,-0.005451108,,,
24,2/6/2020,8.25,-0.007246409,0.000480303,-0.005525912,,,
25,2/7/2020,8.11,-0.017115332,0.000466248,-0.005989489,,,
26,2/10/2020,8.06,-0.006184312,0.000448317,-0.005996982,,,
27,2/11/2020,8.1,0.004950505,0.000435987,-0.00559152,,,
28,2/12/2020,8.24,0.017136282,0.000438206,-0.004779812,,,
29,2/13/2020,8.25,0.001212856,0.000424291,-0.004573169,,,
30,2/14/2020,8.1,-0.018349139,0.000416263,-0.005032368,,,
31,2/18/2020,8.06,-0.004950505,0.000402835,-0.005029727,,,
32,2/19/2020,8.0,-0.007472015,0.000390427,-0.005106048,,,
33,2/20/2020,8.03,0.003742986,0.000380897,-0.004837896,,,
34,2/21/2020,7.89,-0.017588393,0.000374335,-0.00521291,,,
35,2/24/2020,7.57,-0.041403067,0.000399991,-0.006246915,,,
36,2/25/2020,7.23,-0.045954031,0.00043146,-0.00734989,,,
37,2/26/2020,7.21,-0.002770085,0.00042035,-0.007226112,,,
38,2/27/2020,6.97,-0.033853727,0.000427456,-0.007926839,,,
39,2/28/2020,6.96,-0.00143575,0.000417549,-0.0077604,,,
40,3/2/2020,7.2,0.033901552,0.000449418,-0.006718852,,,
41,3/3/2020,6.97,-0.032465801,0.000454231,-0.007346826,,,
42,3/4/2020,7.08,0.015658683,0.000455717,-0.006799076,,,
43,3/5/2020,6.74,-0.049213983,0.000485984,-0.007785469,,,
44,3/6/2020,6.49,-0.037797394,0.000494944,-0.008467558,,,
45,3/9/2020,5.9,-0.09531018,0.000647813,-0.010397394,,,
46,3/10/2020,6.26,0.059227834,0.000736823,-0.008883802,,,
47,3/11/2020,5.9,-0.059227834,0.000773925,-0.009954952,,,
48,3/12/2020,5.35,-0.09785579,0.000915418,-0.011786219,,,
49,3/13/2020,5.63,0.051012881,0.000975578,-0.010504605,,,
50,3/16/2020,5.01,-0.116673527,0.001176994,-0.012627984,,,
51,3/17/2020,5.01,0.0,0.001156981,-0.012380376,,,
52,3/18/2020,4.5,-0.107358518,0.001304873,-0.014206879,,,
53,3/19/2020,4.47,-0.006688988,0.001281299,-0.014065032,,,
54,3/20/2020,4.33,-0.031820867,0.001263302,-0.014393843,,,
55,3/23/2020,4.01,-0.076776301,0.001309802,-0.01552807,,,
56,3/24/2020,4.95,0.210596335,0.002183184,-0.011490134,,,
57,3/25/2020,5.39,0.085157808,0.002305881,-0.009794556,,,
58,3/26/2020,5.25,-0.026317308,0.00227075,-0.010079431,,,
59,3/27/2020,5.19,-0.011494379,0.002232297,-0.010103413,,,
60,3/30/2020,5.03,-0.031313713,0.002202465,-0.010456918,,,
61,3/31/2020,4.83,-0.040573516,0.002180984,-0.010950633,,,
62,4/1/2020,4.4,-0.093241927,0.002253269,-0.012277912,,,
63,4/2/2020,4.36,-0.009132484,0.002217657,-0.012227985,,,
64,4/3/2020,4.24,-0.027908788,0.002186788,-0.012472997,4.197257453167903,4.097116827355351,3.855818067893156
65,4/6/2020,4.53,0.06615867,0.002246804,-0.011263279,4.081811186539696,3.985197678900018,3.7521842745366363
66,4/7/2020,4.71,0.038965969,0.002250409,-0.01050223,4.364164499314799,4.259839135976075,4.0073908048893845
67,4/8/2020,5.03,0.065732076,0.002302268,-0.009364405,4.54118978359404,4.432115541758588,4.168040939121228
68,4/9/2020,5.37,0.065407924,0.002349421,-0.008264812,4.853351179498489,4.735801539214099,4.452028580589239
69,4/13/2020,5.16,-0.039891329,0.002329657,-0.008723167,5.186042318977278,5.058783558245244,4.7513887520747256
70,4/14/2020,5.29,0.024881666,0.002312279,-0.008243098,4.981717026486535,4.859979517056856,4.566871727872775
71,4/15/2020,5.03,-0.050398262,0.002304388,-0.008836832,5.109666982065437,4.985637841869053,4.684730874078015
72,4/16/2020,4.94,-0.018054653,0.002273546,-0.008964858,4.856185894930665,4.738174738668417,4.454108784730002
73,4/17/2020,5.12,0.035789108,0.002269463,-0.00835179,4.769938717861322,4.655283527280075,4.3765426884537755
74,4/20/2020,4.98,-0.027724548,0.002243798,-0.008613584,4.945992687660225,4.8270121217666055,4.539587212951092
75,4/21/2020,4.77,-0.043083586,0.002229512,-0.009073184,4.810440208907407,4.695269460481244,4.415362202946119
76,4/22/2020,4.77,0.0,0.002201245,-0.0089538,4.605956386237073,4.4956991540293485,4.230462602926106
77,4/23/2020,4.89,0.024845999,0.002187301,-0.008514841,4.6075872037915016,4.4979165551889215,4.233945812642286
78,4/24/2020,4.87,-0.004098366,0.002159506,-0.00845822,4.725891017343917,4.614086232240539,4.344943065262258
79,4/27/2020,5.17,0.059778751,0.002190365,-0.007594461,4.7080102312328815,4.597597098846381,4.330025759300588
80,4/28/2020,5.38,0.039815686,0.00219073,-0.007001834,5.0011068840468615,4.882905141229038,4.596886624314152
81,4/29/2020,5.26,-0.022557347,0.002166635,-0.007193877,5.207289604853852,5.0842161164569974,4.785856196653491
82,4/30/2020,5.09,-0.032853196,0.002148144,-0.007506796,5.090891217274154,4.971161650718212,4.681623892515038
83,5/1/2020,4.92,-0.0339693,0.002130598,-0.007825621,4.925164733454428,4.809599289423045,4.532264941797686
84,5/4/2020,4.86,-0.012270093,0.002105466,-0.007878532,4.759835270027246,4.649325972883804,4.380587832337798
85,5/5/2020,4.97,0.022381402,0.002091341,-0.007522532,4.7025331381075945,4.593386390484977,4.328897162980162
86,5/6/2020,4.87,-0.020325903,0.002068907,-0.007671409,4.811324355615591,4.699700879329856,4.430321778442168
87,5/7/2020,4.87,0.0,0.002045796,-0.007583232,4.713909309253672,4.605796597916567,4.342152011724841
88,5/8/2020,5.24,0.073227561,0.002095913,-0.006664927,4.715200820766384,4.607057330602021,4.345713171097683
89,5/11/2020,5.12,-0.023167059,0.002075389,-0.006850344,5.0762431693111845,4.958747028532476,4.673846886096859
90,5/12/2020,4.98,-0.027724548,0.002057117,-0.00708228,4.959971438649356,4.845832313519619,4.568491866171688
91,5/13/2020,4.72,-0.053621091,0.002058051,-0.007593695,4.823296649370589,4.712538011433053,4.445085761100214
92,5/14/2020,4.89,0.035383504,0.002055539,-0.007126552,4.569443034647936,4.464245922131807,4.209396458238875
93,5/15/2020,4.9,0.002042902,0.002034331,-0.007027956,4.735948883804264,4.627460752229895,4.3656226411603525
94,5/18/2020,5.31,0.08035663,0.002093059,-0.006098332,4.746996701556766,4.639256155649417,4.376221930827399
95,5/19/2020,5.3,-0.001885015,0.002071212,-0.006053982,5.147388004636367,5.028064859743587,4.739249846655751
96,5/20/2020,5.49,0.035221435,0.002067198,-0.00562403,5.138312110805563,5.020227314485183,4.73517848759975
97,5/21/2020,5.63,0.025181187,0.002055569,-0.00530645,5.325601181101138,5.202888663276757,4.9071386186160435
98,5/22/2020,5.65,0.003546103,0.002035386,-0.005216118,5.462807552317393,5.337627193389833,5.0347303311230265
99,5/26/2020,5.84,0.033075252,0.002029487,-0.004829336,5.4841633026565315,5.358365290033122,5.053625785429642
100,5/27/2020,6.03,0.032016214,0.002022632,-0.004460881,5.66998691841483,5.540756927803905,5.228573885474197
101,5/28/2020,5.85,-0.030305349,0.002009154,-0.004716767,5.857317479478796,5.724207230158135,5.401927285762894
102,5/29/2020,5.71,-0.024222638,0.00199315,-0.004908001,5.6812770853592145,5.552400519814885,5.2415878414635015
103,6/1/2020,5.87,0.02763561,0.001983982,-0.004592043,5.544168686620239,5.418840075567852,5.115729760475418
104,6/2/2020,5.9,0.005097717,0.001965799,-0.004498872,5.70243393127771,5.573514072753485,5.261117836069623
105,6/3/2020,6.19,0.047982736,0.001973059,-0.003999048,5.733107412702592,5.604091332516727,5.29372430300967
106,6/4/2020,6.57,0.059578746,0.001992219,-0.003399257,6.016698441634671,5.881546731252705,5.55470090279769
107,6/5/2020,7.34,0.11082501,0.002094397,-0.002331741,6.3903284800515205,6.2456238715790295,5.89793688178407
108,6/8/2020,7.53,0.025556199,0.002082139,-0.002073519,7.1416403916907125,6.975719757293714,6.57760344997958
109,6/9/2020,7.24,-0.039273835,0.002075616,-0.002414806,7.32892129804083,7.159942629299443,6.749433345213965
110,6/10/2020,6.81,-0.061229086,0.002087907,-0.002949482,7.044255194478905,6.8820926763708625,6.487054347856825
111,6/11/2020,6.13,-0.10519737,0.002162435,-0.003870634,6.621655942974554,6.469040784481477,6.099480857628556
112,6/12/2020,6.46,0.052434568,0.002171181,-0.003367909,5.952640784423236,5.8124560007765735,5.473900762082099
113,6/15/2020,6.5,0.006172859,0.002152765,-0.003283477,6.275962642597395,6.127790220939358,5.772000676248639
114,6/16/2020,6.55,0.007662873,0.002134923,-0.003187456,6.3160361167738275,6.168001685049703,5.809777470894775
115,6/17/2020,6.33,-0.034164813,0.00212463,-0.003456825,6.366111362884373,6.216838786986644,5.856883649383058
116,6/18/2020,6.33,0.0,0.002106417,-0.003427025,6.151063583893639,6.00705068754136,5.661055141032029
117,6/19/2020,6.23,-0.015923903,0.002089736,-0.003533836,6.151378015063818,6.008714014749061,5.664209460034814
118,6/22/2020,6.28,0.007993648,0.002073143,-0.003436145,6.05450280766185,5.914003369910984,5.576294687967056
119,6/23/2020,6.15,-0.020917899,0.002058269,-0.00358305,6.1048861542745865,5.9641580446173394,5.623654665894954
