,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,3.33,,,,,,
1,1/3/2020,3.28,-0.015128882,0.0,-0.015128882,,,
2,1/6/2020,3.29,0.003044142,8.26e-05,-0.00604237,,,
3,1/7/2020,3.44,0.044583907,0.000624603,0.010833056,,,
4,1/8/2020,3.4,-0.01169604,0.00056362,0.005200782,,,
5,1/9/2020,3.43,0.00878483,0.000452951,0.005917591,,,
6,1/10/2020,3.29,-0.041672696,0.00069202,-0.002014123,,,
7,1/13/2020,3.27,-0.00609758,0.000595202,-0.002597474,,,
8,1/14/2020,3.2,-0.021639175,0.000560459,-0.004977687,,,
9,1/15/2020,3.17,-0.009419222,0.000500134,-0.005471191,,,
10,1/16/2020,3.19,0.006289329,0.000462569,-0.004295139,,,
11,1/17/2020,3.24,0.015552413,0.000453073,-0.002490816,,,
12,1/21/2020,3.23,-0.003091193,0.000415344,-0.002540847,,,
13,1/22/2020,3.26,0.009245058,0.000393258,-0.001634239,,,
14,1/23/2020,3.29,0.009160369,0.000372897,-0.000863196,,,
15,1/24/2020,3.29,0.0,0.000348083,-0.000805649,,,
16,1/27/2020,3.23,-0.018405428,0.000344478,-0.001905636,,,
17,1/28/2020,3.22,-0.003100778,0.000324293,-0.001975938,,,
18,1/29/2020,3.22,0.0,0.000306482,-0.001866164,,,
19,1/30/2020,3.21,-0.003110422,0.000290429,-0.001931651,,,
20,1/31/2020,3.19,-0.00625002,0.000276793,-0.002147569,,,
21,2/3/2020,3.17,-0.006289329,0.00026439,-0.002344796,,,
22,2/4/2020,3.19,0.006289329,0.000255607,-0.001952336,,,
23,2/5/2020,3.32,0.039943866,0.000317493,-0.000130762,,,
24,2/6/2020,3.43,0.032595478,0.00034703,0.001232832,,,
25,2/7/2020,3.43,0.0,0.000333207,0.001183518,,,
26,2/10/2020,3.44,0.00291121,0.000320502,0.001249968,,,
27,2/11/2020,3.45,0.00290276,0.000308729,0.001311182,,,
28,2/12/2020,3.47,0.005780363,0.00029839,0.001470796,,,
29,2/13/2020,3.54,0.019972133,0.000299497,0.002108773,,,
30,2/14/2020,3.62,0.022347299,0.000302712,0.002783391,,,
31,2/18/2020,3.53,-0.025176155,0.000317351,0.00188147,,,
32,2/19/2020,3.41,-0.03458558,0.000347693,0.000741875,,,
33,2/20/2020,3.44,0.00875918,0.000339046,0.000984823,,,
34,2/21/2020,3.46,0.005797118,0.000329735,0.001126361,,,
35,2/24/2020,3.33,-0.038296285,0.000363449,-2.86e-11,,,
36,2/25/2020,3.03,-0.094409684,0.000594065,-0.002622491,,,
37,2/26/2020,3.02,-0.003305788,0.000578021,-0.002640959,,,
38,2/27/2020,2.8,-0.075637414,0.000699343,-0.004561918,,,
39,2/28/2020,2.59,-0.077961541,0.00081601,-0.00644396,,,
40,3/2/2020,2.93,0.123344547,0.001206208,-0.003199247,,,
41,3/3/2020,2.8,-0.045383006,0.001219132,-0.004228119,,,
42,3/4/2020,2.82,0.007117468,0.001193097,-0.003957986,,,
43,3/5/2020,2.75,-0.025135973,0.001175538,-0.004450497,,,
44,3/6/2020,2.62,-0.048426594,0.001191775,-0.005449954,,,
45,3/9/2020,2.24,-0.156698452,0.001662352,-0.008811032,,,
46,3/10/2020,2.24,0.0,0.001627865,-0.008619488,,,
47,3/11/2020,2.01,-0.108341144,0.001800311,-0.010741225,,,
48,3/12/2020,1.65,-0.197359434,0.002473238,-0.014629105,,,
49,3/13/2020,1.93,0.156744715,0.003009899,-0.01113168,,,
50,3/16/2020,1.71,-0.121026632,0.003186408,-0.013329579,,,
51,3/17/2020,1.75,0.023122417,0.003149472,-0.012614834,,,
52,3/18/2020,1.6,-0.089612159,0.003200724,-0.014095551,,,
53,3/19/2020,1.57,-0.01892801,0.003140766,-0.01418673,,,
54,3/20/2020,1.53,-0.025807884,0.003085058,-0.014401936,,,
55,3/23/2020,1.28,-0.178407657,0.003509126,-0.017383859,,,
56,3/24/2020,1.52,0.171850257,0.004074501,-0.014004678,,,
57,3/25/2020,1.71,0.117783036,0.004302374,-0.011692613,,,
58,3/26/2020,1.79,0.045722249,0.004284051,-0.010702701,,,
59,3/27/2020,1.67,-0.069391993,0.004268831,-0.011697435,,,
60,3/30/2020,1.61,-0.036589447,0.004207839,-0.012112302,,,
61,3/31/2020,1.59,-0.012500163,0.00413886,-0.01211866,,,
62,4/1/2020,1.51,-0.051624365,0.004096871,-0.012755849,,,
63,4/2/2020,1.46,-0.033673215,0.004038676,-0.013087871,,,
64,4/3/2020,1.4,-0.041964199,0.003988397,-0.013539064,1.3910412999208854,1.3463617083820005,1.2401188166146038
65,4/6/2020,1.47,0.048790164,0.003985885,-0.012580152,1.3334802183198247,1.2909156553294834,1.1900758308806894
66,4/7/2020,1.55,0.05299253,0.003989654,-0.011586627,1.4014467077963118,1.3569593451742978,1.2508633139369816
67,4/8/2020,1.56,0.00643089,0.00393488,-0.011317709,1.4793131227832244,1.4323479793046021,1.3201544860292656
68,4/9/2020,1.58,0.012739026,0.0038854,-0.010963933,1.4898552916481487,1.4427165237012987,1.3304933380510366
69,4/13/2020,1.55,-0.019169916,0.003830051,-0.01108286,1.509761715082069,1.4624605785012874,1.3493365948746676
70,4/14/2020,1.63,0.050325084,0.003828437,-0.010205604,1.481026500179223,1.4348435777835895,1.324459862398046
71,4/15/2020,1.71,0.047913356,0.00382142,-0.009387027,1.5590132787071915,1.5103364467377647,1.3942790898350281
72,4/16/2020,1.9,0.105360516,0.00394868,-0.007793311,1.6369548748472744,1.5858518933451904,1.4640057865303644
