,Date,HD,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,219.660004,,,,,,
1,1/3/2020,218.929993,-0.003328903,0.0,-0.003328903,,,
2,1/6/2020,219.960007,0.004693731,1.61e-05,0.000682414,,,
3,1/7/2020,218.520004,-0.006568182,2.24e-05,-0.001734451,,,
4,1/8/2020,221.789993,0.014853395,6.84e-05,0.00241251,,,
5,1/9/2020,225.190002,0.015213543,8.09e-05,0.004972717,,,
6,1/10/2020,224.220001,-0.004316782,7.94e-05,0.003424467,,,
7,1/13/2020,223.339996,-0.003932461,7.47e-05,0.002373477,,,
8,1/14/2020,222.809998,-0.002375875,6.78e-05,0.001779808,,,
9,1/15/2020,224.589996,0.007957119,6.41e-05,0.002466176,,,
10,1/16/2020,228.820007,0.018659199,8.13e-05,0.004085478,,,
11,1/17/2020,231.910004,0.013413684,8.11e-05,0.004933497,,,
12,1/21/2020,232.949997,0.004474443,7.43e-05,0.004895243,,,
13,1/22/2020,232.899994,-0.000214674,7.05e-05,0.004502172,,,
14,1/23/2020,233.649994,0.003215092,6.55e-05,0.004410238,,,
15,1/24/2020,232.0,-0.007086872,6.94e-05,0.003643764,,,
16,1/27/2020,231.190002,-0.00349748,6.8e-05,0.003197436,,,
17,1/28/2020,233.860001,0.011482758,6.78e-05,0.003684808,,,
18,1/29/2020,234.020004,0.000683949,6.45e-05,0.003518094,,,
19,1/30/2020,232.789993,-0.005269869,6.5e-05,0.003055569,,,
20,1/31/2020,228.100006,-0.020352574,8.78e-05,0.001885162,,,
21,2/3/2020,231.539993,0.014968459,9.14e-05,0.002508176,,,
22,2/4/2020,235.0,0.0148329,9.38e-05,0.003068391,,,
23,2/5/2020,238.110001,0.013147242,9.39e-05,0.003506602,,,
24,2/6/2020,238.839996,0.003061099,9e-05,0.003488039,,,
25,2/7/2020,237.300003,-0.006468679,9.02e-05,0.00308977,,,
26,2/10/2020,240.610001,0.013852194,9.11e-05,0.00350371,,,
27,2/11/2020,241.639999,0.004271642,8.77e-05,0.003532152,,,
28,2/12/2020,241.589996,-0.000206953,8.51e-05,0.003398612,,,
29,2/13/2020,242.360001,0.00318217,8.21e-05,0.003391149,,,
30,2/14/2020,245.029999,0.01095642,8.12e-05,0.003643325,,,
31,2/18/2020,243.940002,-0.004458346,8.07e-05,0.00338198,,,
32,2/19/2020,243.639999,-0.00123058,7.88e-05,0.003237838,,,
33,2/20/2020,247.020004,0.013777599,7.97e-05,0.003557224,,,
34,2/21/2020,245.339996,-0.006824334,8.04e-05,0.003251885,,,
35,2/24/2020,239.699997,-0.023256858,9.76e-05,0.002494492,,,
36,2/25/2020,237.380005,-0.009725875,9.89e-05,0.002155037,,,
37,2/26/2020,235.279999,-0.008885964,9.95e-05,0.001856632,,,
38,2/27/2020,224.729996,-0.045876626,0.000155219,0.000600493,,,
39,2/28/2020,217.839996,-0.031138834,0.000176407,-0.000213335,,,
40,3/2/2020,229.940002,0.054057584,0.000243789,0.001143438,,,
41,3/3/2020,227.940002,-0.008735969,0.000240166,0.000902476,,,
42,3/4/2020,241.080002,0.056046392,0.000305125,0.002215427,,,
43,3/5/2020,234.809998,-0.026352169,0.000316567,0.001551064,,,
44,3/6/2020,228.509995,-0.027196717,0.000327728,0.000897705,,,
45,3/9/2020,210.460007,-0.082284307,0.000470789,-0.000950784,,,
46,3/10/2020,225.699997,0.069911026,0.000567342,0.00058969,,,
47,3/11/2020,212.889999,-0.058431075,0.00062781,-0.000666071,,,
48,3/12/2020,190.589996,-0.110651093,0.000861495,-0.002957425,,,
49,3/13/2020,205.669998,0.07614843,0.000969016,-0.00134302,,,
50,3/16/2020,164.960007,-0.22056987,0.00189162,-0.005727557,,,
51,3/17/2020,173.639999,0.051281122,0.001917005,-0.00460974,,,
52,3/18/2020,155.630005,-0.109502757,0.002087658,-0.006626913,,,
53,3/19/2020,161.130005,0.034730096,0.002079931,-0.005846592,,,
54,3/20/2020,152.149994,-0.057344687,0.002089617,-0.006800261,,,
55,3/23/2020,162.389999,0.065134006,0.002143996,-0.005492365,,,
56,3/24/2020,184.720001,0.128840327,0.002422193,-0.003093567,,,
57,3/25/2020,181.759995,-0.016154062,0.002382638,-0.003322698,,,
58,3/26/2020,195.210007,0.07138883,0.002436137,-0.002034569,,,
59,3/27/2020,190.550003,-0.024161295,0.002403004,-0.002409598,,,
60,3/30/2020,196.100006,0.028710121,0.002378826,-0.001890936,,,
61,3/31/2020,186.710007,-0.049068115,0.002375717,-0.002664332,,,
62,4/1/2020,178.630005,-0.044239993,0.002364829,-0.003334907,,,
63,4/2/2020,181.309998,0.014891607,0.002332481,-0.003045598,,,
64,4/3/2020,178.699997,-0.014499857,0.002298054,-0.00322457,176.02857785198657,171.73641361695522,161.3926506515428
65,4/6/2020,191.330002,0.068291291,0.002340174,-0.002124326,173.50622665685,169.30608230223436,159.11180251503635
66,4/7/2020,192.289993,0.005004916,0.002305475,-0.002016308,185.92487018446997,181.37935255794662,170.3635396109078
67,4/8/2020,194.820007,0.013071479,0.002274412,-0.001791117,186.9300752467677,182.39540144799585,171.42520889571782
68,4/9/2020,201.529999,0.033862157,0.002259383,-0.001266804,189.4682035117745,184.88880699119576,173.827319969849
69,4/13/2020,198.789993,-0.013689293,0.002228843,-0.00144684,196.11209481490746,191.3891863620141,179.9967256147046
70,4/14/2020,207.169998,0.041290747,0.002222722,-0.000836303,193.4543407026496,188.8407277595472,177.69647854590016
71,4/15/2020,198.479996,-0.042851383,0.002215929,-0.001428065,201.70316751586333,196.90010617434862,185.2935497120956
72,4/16/2020,199.850006,0.006878796,0.002186097,-0.001312692,193.1331764976326,188.51656107296645,177.42234444407615
73,4/17/2020,209.419998,0.04677468,0.002187394,-0.000653961,194.55529858499793,189.9349230666525,178.7812204021979
74,4/20/2020,206.050003,-0.016222923,0.002161065,-0.000864352,203.9903375822863,199.15102475983295,187.5666073086521
75,4/21/2020,200.610001,-0.026756143,0.002141071,-0.001209576,200.68196261196806,195.96606239512417,184.55964509299696
76,4/22/2020,204.169998,0.017590241,0.002117488,-0.00096221,195.35224232215754,190.77996740980578,179.7005597174421
77,4/23/2020,202.320007,-0.009102333,0.002090837,-0.001067926,198.88106456955754,194.24574298558142,183.0790748591293
78,4/24/2020,212.179993,0.047584301,0.002093989,-0.000444179,197.1078041860547,192.5488894098711,181.51244739958435
79,4/27/2020,217.759995,0.025958578,0.002076196,-0.000109967,206.8513357993496,202.04569867172503,190.46015094147785
80,4/28/2020,217.630005,-0.00059712,0.002050246,-0.000116056,212.37239092418912,207.46890528905737,195.6118033619215
81,4/29/2020,221.809998,0.019024754,0.002029402,0.00012025,212.29814407982812,207.4392843350197,195.69395443597566
82,4/30/2020,219.830002,-0.008966621,0.002005648,9.43e-06,216.42039262237816,211.49822934769819,199.56524619116192
83,5/1/2020,218.570007,-0.005748168,0.001981878,-5.99e-05,214.523864490233,209.65478888012498,197.89295499591114
84,5/4/2020,221.839996,0.014850022,0.001960899,0.000117565,213.30098033180377,208.4843364895638,196.8276018527469
85,5/5/2020,225.610001,0.016851466,0.001941085,0.000314435,216.55821623324397,211.69828949864976,199.9477674771886
86,5/6/2020,223.919998,-0.007519013,0.00191922,0.000223348,220.32217863502072,215.4125498641226,203.5167841757352
87,5/7/2020,229.449997,0.024396291,0.001903799,0.000501198,218.65235255304108,213.80021390538275,202.12358945256395
88,5/8/2020,234.429993,0.021471878,0.001887105,0.000739501,224.15997830067485,219.22849367907955,207.18037279164653
89,5/11/2020,236.559998,0.009044861,0.001866668,0.00083282,229.0891556147228,224.0511965445866,211.87586559494974
90,5/12/2020,232.899994,-0.015592716,0.001848892,0.000650314,231.27301520809542,226.1857483568494,213.98749775706492
91,5/13/2020,230.100006,-0.012095128,0.00183034,0.000510254,227.65677661489158,222.69253559786685,210.64177676920963
92,5/14/2020,234.479996,0.018856256,0.001814064,0.000709667,224.90950655267994,220.0431058034692,208.27558891385578
93,5/15/2020,239.330002,0.020473082,0.001798712,0.000922177,229.26547716407393,224.34451789266734,212.37611348833886
94,5/18/2020,245.350006,0.024842426,0.001785599,0.001176648,234.0687729435938,229.03410726844348,216.90824025066033
95,5/19/2020,238.100006,-0.029995008,0.001776924,0.000848525,240.0314567895088,234.88329991527087,222.3619941429967
96,5/20/2020,238.190002,0.000377904,0.001758417,0.000843623,232.89362402710788,227.90596542367118,215.86338767317662
97,5/21/2020,240.880005,0.011230222,0.001741389,0.000950701,232.99010939761996,228.0482093214347,216.0299893931885
98,5/22/2020,241.880005,0.004142851,0.001723723,0.000983274,235.68995152460164,230.71059348090003,218.65239607420338
99,5/26/2020,242.479996,0.00247746,0.001706334,0.000998367,236.70674012260872,231.72235765596506,219.543337549598
100,5/27/2020,247.360001,0.019925553,0.001692817,0.001187639,237.3125698614605,232.34362170885908,220.30055019203922
101,5/28/2020,245.139999,-0.009015298,0.001677077,0.001086619,242.15657959864802,237.12432806684262,224.8199109189514
102,5/29/2020,248.479996,0.013532871,0.001662139,0.001208641,239.96438211604604,235.00018508703775,222.91633439548374
103,6/1/2020,247.289993,-0.004800635,0.001646349,0.001150299,243.3220787938835,238.2826811900815,226.08225833524784
