,Date,HPQ,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,20.790001,,,,,,
1,1/3/2020,20.530001,-0.01258487,0.0,-0.01258487,,,
2,1/6/2020,20.610001,0.003889164,6.78e-05,-0.004347853,,,
3,1/7/2020,20.66,0.00242302,5.54e-05,-0.002090895,,,
4,1/8/2020,20.93,0.012984073,8.42e-05,0.001677847,,,
5,1/9/2020,21.24,0.01470266,9.45e-05,0.004282809,,,
6,1/10/2020,21.379999,0.006569662,7.95e-05,0.004663952,,,
7,1/13/2020,21.459999,0.003734832,6.82e-05,0.00453122,,,
8,1/14/2020,21.4,-0.002799769,6.56e-05,0.003614847,,,
9,1/15/2020,21.42,0.000934143,5.9e-05,0.003316991,,,
10,1/16/2020,21.67,0.011603751,5.93e-05,0.004145667,,,
11,1/17/2020,21.969999,0.013749025,6.15e-05,0.005018699,,,
12,1/21/2020,21.959999,-0.00045527,5.87e-05,0.004562535,,,
13,1/22/2020,21.93,-0.001367009,5.67e-05,0.004106416,,,
14,1/23/2020,22.1,0.007722046,5.35e-05,0.004364676,,,
15,1/24/2020,21.98,-0.00544466,5.59e-05,0.00371072,,,
16,1/27/2020,21.58,-0.018365989,8.1e-05,0.002330926,,,
17,1/28/2020,21.639999,0.002776448,7.62e-05,0.002357133,,,
18,1/29/2020,21.43,-0.009751598,7.97e-05,0.001684426,,,
19,1/30/2020,21.530001,0.004655548,7.59e-05,0.0018408,,,
20,1/31/2020,21.32,-0.009801759,7.86e-05,0.001258672,,,
21,2/3/2020,21.299999,-0.000938574,7.5e-05,0.001154042,,,
22,2/4/2020,21.549999,0.011668744,7.64e-05,0.001631983,,,
23,2/5/2020,21.780001,0.010616393,7.65e-05,0.002022609,,,
24,2/6/2020,21.84,0.002750987,7.33e-05,0.002052958,,,
25,2/7/2020,21.73,-0.005049357,7.23e-05,0.001768866,,,
26,2/10/2020,21.9,0.007792843,7.09e-05,0.002000557,,,
27,2/11/2020,22.23,0.014956091,7.42e-05,0.002480392,,,
28,2/12/2020,22.48,0.011183297,7.42e-05,0.00279121,,,
29,2/13/2020,22.219999,-0.011633286,7.85e-05,0.002293813,,,
30,2/14/2020,22.370001,0.006728081,7.66e-05,0.002441622,,,
31,2/18/2020,22.24,-0.005828351,7.62e-05,0.002174849,,,
32,2/19/2020,22.43,0.008506879,7.51e-05,0.002372725,,,
33,2/20/2020,22.639999,0.009318861,7.42e-05,0.002583214,,,
34,2/21/2020,22.700001,0.002646759,7.2e-05,0.002585083,,,
35,2/24/2020,22.1,-0.02678736,9.39e-05,0.00174587,,,
36,2/25/2020,23.35,0.055019376,0.000167945,0.00322569,,,
37,2/26/2020,22.709999,-0.027791672,0.000188706,0.002387383,,,
38,2/27/2020,21.879999,-0.03723238,0.000223961,0.001344757,,,
39,2/28/2020,20.790001,-0.051100782,0.000286937,-7.69e-11,,,
40,3/2/2020,21.860001,0.050186379,0.000341156,0.001254659,,,
41,3/3/2020,20.75,-0.052112282,0.000400605,-4.7e-05,,,
42,3/4/2020,21.6,0.040147068,0.000428617,0.000910028,,,
43,3/5/2020,21.540001,-0.002781597,0.000418958,0.000824176,,,
44,3/6/2020,21.41,-0.006053616,0.000410487,0.000667862,,,
45,3/9/2020,18.959999,-0.121526659,0.000725803,-0.002047571,,,
46,3/10/2020,19.790001,0.042845366,0.000752885,-0.001071638,,,
47,3/11/2020,19.360001,-0.021967677,0.000745958,-0.001516234,,,
48,3/12/2020,17.51,-0.100436987,0.000930031,-0.003577084,,,
49,3/13/2020,17.18,-0.01902623,0.000915823,-0.003892372,,,
50,3/16/2020,14.46,-0.1723597,0.001453778,-0.007261719,,,
51,3/17/2020,14.4,-0.00415801,0.001425458,-0.007200862,,,
52,3/18/2020,13.11,-0.093852909,0.001539664,-0.008867247,,,
53,3/19/2020,14.4,0.093852909,0.001705941,-0.006929131,,,
54,3/20/2020,13.95,-0.031748698,0.001685546,-0.007388753,,,
55,3/23/2020,13.7,-0.018083675,0.001656942,-0.007583206,,,
56,3/24/2020,15.47,0.121506832,0.001919615,-0.005278027,,,
57,3/25/2020,15.38,-0.005834701,0.001885943,-0.005287793,,,
58,3/26/2020,17.940001,0.153964948,0.002283154,-0.002542056,,,
59,3/27/2020,16.860001,-0.0620889,0.002303537,-0.003551324,,,
60,3/30/2020,17.84,0.056499115,0.002324244,-0.002550484,,,
61,3/31/2020,17.360001,-0.02727436,0.002295998,-0.002955793,,,
62,4/1/2020,14.84,-0.156842529,0.002634759,-0.005437837,,,
63,4/2/2020,15.49,0.042868417,0.002629389,-0.004671071,,,
64,4/3/2020,14.48,-0.067426267,0.002648878,-0.005651621,14.98857493412616,14.599381244920279,13.666671989429407
65,4/6/2020,15.0,0.035281814,0.002633507,-0.005021876,13.996697862796955,13.63407826231472,12.759180571503604
66,4/7/2020,15.12,0.00796817,0.002596123,-0.004825057,14.508628855947524,14.131105361782106,13.223124624847365
67,4/8/2020,15.72,0.038915416,0.002585504,-0.004172214,14.632736689050809,14.256259864759205,13.348764407767561
68,4/9/2020,15.97,0.015778175,0.002553249,-0.003878826,15.22252309571271,14.830868115552683,13.890118450489533
69,4/13/2020,15.54,-0.027294617,0.002524077,-0.004218186,15.473035432923211,15.076069350422264,14.129034646203314
70,4/14/2020,15.92,0.024158835,0.002499358,-0.0038128,15.053588697754043,14.67124531357272,13.750484692381496
71,4/15/2020,15.0,-0.059525979,0.002507258,-0.004597492,15.430571049468249,15.040712174174162,14.097593444139083
72,4/16/2020,15.24,0.015873349,0.002478174,-0.004313175,14.523789392547995,14.158840255187078,13.271923526988878
73,4/17/2020,15.52,0.018205964,0.002451078,-0.004004694,14.764471429064086,14.391409017090318,13.494530200731608
74,4/20/2020,15.36,-0.010362787,0.002418494,-0.004090614,15.043262994904634,14.666568128212422,13.762114300998949
75,4/21/2020,14.42,-0.063150596,0.002432136,-0.00487808,14.890260412516406,14.5200711791238,13.627427810375643
76,4/22/2020,14.79,0.025335145,0.002411987,-0.004480538,13.964329624988315,13.616412275095623,12.774581484946527
77,4/23/2020,14.62,-0.011560822,0.002381305,-0.00457249,14.331763070429277,13.975454432327234,13.114693058392016
78,4/24/2020,15.0,0.025659747,0.002362343,-0.004184897,14.169864658951406,13.819398032632156,12.97456769836987
79,4/27/2020,15.03,0.001998003,0.002332918,-0.004106632,14.5443487217238,14.189146462114275,13.327732787422269
80,4/28/2020,15.52,0.032081311,0.002319921,-0.003654283,14.577951673705705,14.22161486891085,13.365607736567258
81,4/29/2020,16.280001,0.047807907,0.002323572,-0.003018947,15.060642443859352,14.694249761475403,13.807204684928672
82,4/30/2020,15.51,-0.048452445,0.002320102,-0.003573014,15.808733276234985,15.423283073000315,14.490055360979545
83,5/1/2020,14.71,-0.052957443,0.002321178,-0.004168007,15.051599320541671,14.684858716928684,13.800004645189828
84,5/4/2020,14.9,0.012833678,0.002296946,-0.003965606,14.26773690377698,13.920442917432434,13.08245568873056
85,5/5/2020,14.81,-0.006058585,0.002269974,-0.00399023,14.456900465300963,14.107039874501993,13.2613281102357
86,5/6/2020,14.66,-0.010179932,0.002244019,-0.004062203,14.370419022461677,14.024689637517536,13.191522543353003
87,5/7/2020,14.95,0.019588603,0.002224581,-0.003790355,14.227796705199795,13.8858338566483,13.063924968658629
88,5/8/2020,15.66,0.046398391,0.0022276,-0.003220028,14.5138239076755,14.166755536093495,13.330629418577852
89,5/11/2020,15.42,-0.015444322,0.002204231,-0.00335738,15.211374790169623,14.848792460371724,13.9713832942281
90,5/12/2020,14.87,-0.036319608,0.002191678,-0.003723627,14.977264503680148,14.620916448188495,13.762787811122863
91,5/13/2020,14.06,-0.056011874,0.002197308,-0.004298223,14.441154120848683,14.098688739780627,13.27549014916704
92,5/14/2020,14.51,0.031504181,0.002187206,-0.003909066,13.644611686270435,13.320842723832879,12.539465878434488
93,5/15/2020,14.86,0.023834972,0.002171875,-0.003610743,14.087450879073902,13.752540611928353,12.946594698614131
94,5/18/2020,16.120001,0.08138776,0.002224811,-0.002706504,14.432651110018774,14.093210824812564,13.268293557954616
95,5/19/2020,16.73,0.037142716,0.002217932,-0.002287038,15.667520213678765,15.293628376613878,14.392387028599437
96,5/20/2020,17.299999,0.033502929,0.002208032,-0.001914226,16.265695986920775,15.878156126708067,14.941398619066394
97,5/21/2020,17.18,-0.006960527,0.002185529,-0.00196625,16.82700809517768,16.427139507064503,15.458204349472215
98,5/22/2020,17.0,-0.010532572,0.002163969,-0.002053661,16.71361075243083,16.318060923399834,15.361860295166629
99,5/26/2020,17.059999,0.003523139,0.002142421,-0.00199733,16.53790380999829,16.14975185990152,15.207937455751944
