,Date,INTC,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,60.84,,,,,,
1,1/3/2020,60.099998,-0.012237659,0.0,-0.012237659,,,
2,1/6/2020,59.93,-0.002832594,2.21e-05,-0.007535127,,,
3,1/7/2020,58.93,-0.016826916,3.39e-05,-0.01063239,,,
4,1/8/2020,58.970001,0.000678558,4.94e-05,-0.007804653,,,
5,1/9/2020,59.299999,0.005580432,6.82e-05,-0.005127636,,,
6,1/10/2020,58.939999,-0.006089329,5.7e-05,-0.005287918,,,
7,1/13/2020,59.59,0.010967814,8.12e-05,-0.002965671,,,
8,1/14/2020,59.43,-0.002688625,7.11e-05,-0.00293104,,,
9,1/15/2020,58.939999,-0.008279189,6.6e-05,-0.003525279,,,
10,1/16/2020,59.66,0.012141819,8.15e-05,-0.001958569,,,
11,1/17/2020,59.599998,-0.001006239,7.41e-05,-0.001871993,,,
12,1/21/2020,60.549999,0.015813913,9.19e-05,-0.000398168,,,
13,1/22/2020,62.73,0.035370349,0.000175636,0.002353256,,,
14,1/23/2020,63.32,0.009361433,0.000166348,0.002853841,,,
15,1/24/2020,68.470001,0.078194473,0.000508444,0.007876549,,,
16,1/27/2020,65.690002,-0.04144897,0.000619226,0.004793704,,,
17,1/28/2020,67.309998,0.024362047,0.000604,0.005944783,,,
18,1/29/2020,66.330002,-0.014666471,0.000592735,0.004799714,,,
19,1/30/2020,66.470001,0.002108419,0.000561899,0.004658067,,,
20,1/31/2020,63.93,-0.038961998,0.000624183,0.002477063,,,
21,2/3/2020,64.419998,0.007635378,0.000595667,0.002722697,,,
22,2/4/2020,65.459999,0.016015141,0.000576257,0.003326899,,,
23,2/5/2020,67.339996,0.028315101,0.000577171,0.004413343,,,
24,2/6/2020,67.089996,-0.003719412,0.000555763,0.004074478,,,
25,2/7/2020,66.019997,-0.016077261,0.000549126,0.003268409,,,
26,2/10/2020,66.389999,0.005588747,0.000528205,0.003357652,,,
27,2/11/2020,67.410004,0.015247007,0.000513684,0.003797999,,,
28,2/12/2020,67.459999,0.000741381,0.00049566,0.003688834,,,
29,2/13/2020,67.440002,-0.000296471,0.000479097,0.00355141,,,
30,2/14/2020,67.269997,-0.002524016,0.000464316,0.003348895,,,
31,2/18/2020,66.139999,-0.016940635,0.000462189,0.002694394,,,
32,2/19/2020,67.110001,0.014559387,0.000452008,0.003065175,,,
33,2/20/2020,65.449997,-0.025046633,0.000461533,0.002213302,,,
34,2/21/2020,64.339996,-0.017104987,0.000458612,0.001645117,,,
35,2/24/2020,61.759998,-0.040925586,0.000495808,0.000428812,,,
36,2/25/2020,59.73,-0.033421467,0.00051298,-0.000511474,,,
37,2/26/2020,59.650002,-0.001340225,0.000499134,-0.000533873,,,
38,2/27/2020,55.830002,-0.066182787,0.00059643,-0.002261476,,,
