,Date,META,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,209.779999,,,,,,
1,1/3/2020,208.669998,-0.005305311,0.0,-0.005305311,,,
2,1/6/2020,212.600006,0.018658447,0.000143565,0.006676568,,,
3,1/7/2020,213.059998,0.002161313,0.000100241,0.005171483,,,
4,1/8/2020,215.220001,0.010086959,7.97e-05,0.006400352,,,
5,1/9/2020,218.300003,0.014209512,7.35e-05,0.007962184,,,
6,1/10/2020,218.059998,-0.001100032,7.27e-05,0.006451815,,,
7,1/13/2020,221.910004,0.017501667,7.72e-05,0.008030365,,,
8,1/14/2020,219.059998,-0.012926257,0.000115626,0.005410787,,,
9,1/15/2020,221.149994,0.009495521,0.000104426,0.005864647,,,
10,1/16/2020,221.770004,0.00279965,9.48e-05,0.005558147,,,
11,1/17/2020,222.139999,0.001666982,8.75e-05,0.005204405,,,
12,1/21/2020,221.440002,-0.003156128,8.55e-05,0.004507694,,,
13,1/22/2020,221.320007,-0.000542032,8.07e-05,0.004119253,,,
14,1/23/2020,219.759995,-0.007073631,8.33e-05,0.003319761,,,
15,1/24/2020,217.940002,-0.008316214,8.62e-05,0.00254403,,,
16,1/27/2020,214.869995,-0.014186634,9.72e-05,0.001498363,,,
17,1/28/2020,217.789993,0.013498093,9.94e-05,0.00220423,,,
18,1/29/2020,223.229996,0.024671349,0.000120391,0.003452403,,,
19,1/30/2020,209.529999,-0.06333569,0.00033647,-6.28e-05,,,
20,1/31/2020,201.910004,-0.037044849,0.000384611,-0.001911864,,,
21,2/3/2020,204.190002,0.011228869,0.000374127,-0.001286115,,,
22,2/4/2020,209.830002,0.027246746,0.000392445,1.08e-05,,,
23,2/5/2020,210.110001,0.001333519,0.000375455,6.83e-05,,,
24,2/6/2020,210.850006,0.003515801,0.000360285,0.000211985,,,
25,2/7/2020,212.330002,0.006994669,0.000347641,0.000483293,,,
26,2/10/2020,213.059998,0.003432129,0.000334591,0.00059671,,,
27,2/11/2020,207.190002,-0.02793755,0.000351238,-0.000460115,,,
28,2/12/2020,210.759995,0.017083765,0.000349294,0.000166452,,,
29,2/13/2020,213.139999,0.0112292,0.000341324,0.000547926,,,
30,2/14/2020,214.179993,0.004867528,0.000330547,0.000691913,,,
31,2/18/2020,217.800003,0.016760474,0.000327945,0.001210254,,,
32,2/19/2020,217.490005,-0.001424329,0.000317907,0.001127923,,,
33,2/20/2020,214.580002,-0.013470257,0.000314535,0.000685554,,,
34,2/21/2020,210.179993,-0.020718365,0.000318362,5.6e-05,,,
35,2/24/2020,200.720001,-0.046053366,0.000368276,-0.001261384,,,
36,2/25/2020,196.770004,-0.019875353,0.000367403,-0.001778439,,,
37,2/26/2020,197.199997,0.002182873,0.000357886,-0.001671377,,,
38,2/27/2020,189.75,-0.038511011,0.000383242,-0.002640841,,,
39,2/28/2020,192.470001,0.014232886,0.000380529,-0.002208181,,,
40,3/2/2020,196.440002,0.020416749,0.000383493,-0.001642558,,,
41,3/3/2020,185.889999,-0.055201956,0.000442399,-0.002948884,,,
42,3/4/2020,191.759995,0.031089469,0.000458795,-0.002138448,,,
43,3/5/2020,185.169998,-0.034970253,0.000472611,-0.002901978,,,
44,3/6/2020,181.089996,-0.022280188,0.00047021,-0.003342392,,,
45,3/9/2020,169.5,-0.066141196,0.000545451,-0.004737921,,,
46,3/10/2020,178.190002,0.049997481,0.000597307,-0.003548021,,,
47,3/11/2020,170.240005,-0.045641172,0.000621495,-0.00444362,,,
48,3/12/2020,154.470001,-0.097209326,0.000784093,-0.006376239,,,
49,3/13/2020,170.279999,0.097444226,0.000983575,-0.004257454,,,
50,3/16/2020,146.009995,-0.153769057,0.001402036,-0.007247686,,,
51,3/17/2020,149.419998,0.023086041,0.001392233,-0.006652907,,,
52,3/18/2020,146.960007,-0.016600631,0.001367326,-0.006844209,,,
53,3/19/2020,153.130005,0.041126778,0.001384127,-0.005939096,,,
54,3/20/2020,149.729996,-0.022453621,0.001363452,-0.006244921,,,
