,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,102.199997,,,,,,
1,1/3/2020,101.919998,-0.002743476,0.0,-0.002743476,,,
2,1/6/2020,101.830002,-0.000883396,8.65e-07,-0.001813436,,,
3,1/7/2020,101.779999,-0.000491164,9.65e-07,-0.001372679,,,
4,1/8/2020,101.550003,-0.002262294,8.72e-07,-0.001595083,,,
5,1/9/2020,101.480003,-0.000689553,8.29e-07,-0.001413977,,,
6,1/10/2020,100.900002,-0.005731817,3.28e-06,-0.002133617,,,
7,1/13/2020,102.160004,0.012410304,2.87e-05,-5.59e-05,,,
8,1/14/2020,102.919998,0.007411717,3.12e-05,0.00087754,,,
9,1/15/2020,102.790001,-0.001263886,2.82e-05,0.000639604,,,
10,1/16/2020,103.370003,0.005626732,2.76e-05,0.001138317,,,
11,1/17/2020,104.529999,0.011159288,3.34e-05,0.002049314,,,
12,1/21/2020,104.580002,0.000478246,3.08e-05,0.001918392,,,
13,1/22/2020,104.489998,-0.000860994,2.9e-05,0.001704593,,,
14,1/23/2020,103.019997,-0.014168239,4.36e-05,0.000570819,,,
15,1/24/2020,102.029999,-0.009656237,4.72e-05,-0.000110985,,,
16,1/27/2020,100.239998,-0.017699587,6.24e-05,-0.001210272,,,
17,1/28/2020,100.410004,0.001694553,5.92e-05,-0.0010394,,,
18,1/29/2020,99.839996,-0.005692979,5.71e-05,-0.001297932,,,
19,1/30/2020,98.190002,-0.016664467,6.58e-05,-0.002106697,,,
20,1/31/2020,96.300003,-0.019436048,7.68e-05,-0.002973165,,,
21,2/3/2020,99.269997,0.03037503,0.000123574,-0.001385156,,,
22,2/4/2020,101.379997,0.021032423,0.000139762,-0.000366175,,,
23,2/5/2020,100.540001,-0.008320135,0.000136316,-0.000711999,,,
24,2/6/2020,100.269997,-0.002689151,0.000130793,-0.00079438,,,
25,2/7/2020,99.440002,-0.00831205,0.000127731,-0.001095087,,,
26,2/10/2020,100.019997,0.005815669,0.000124585,-0.000829289,,,
27,2/11/2020,100.019997,0.0,0.000119995,-0.000798574,,,
28,2/12/2020,103.0,0.029358852,0.00014703,0.000278476,,,
29,2/13/2020,103.370003,0.003585825,0.000142325,0.000392523,,,
30,2/14/2020,103.540001,0.001643208,0.000137631,0.000434212,,,
31,2/18/2020,102.0,-0.014985208,0.000140613,-6.32e-05,,,
32,2/19/2020,102.459999,0.004499655,0.000136849,7.94e-05,,,
33,2/20/2020,102.529999,0.00068296,0.000132713,9.77e-05,,,
34,2/21/2020,100.25,-0.022488363,0.000143372,-0.000566605,,,
35,2/24/2020,95.910004,-0.044256773,0.000192256,-0.001814896,,,
