,Date,VZ,PDR,VAR,AVG,VAR70,VAR85,VAR99
0,1/2/2020,61.049999,,,,,,
1,1/3/2020,60.400002,-0.010704046,0.0,-0.010704046,,,
2,1/6/2020,60.27,-0.002154671,1.83e-05,-0.006429359,,,
3,1/7/2020,59.599998,-0.011178927,1.72e-05,-0.008012548,,,
4,1/8/2020,59.709999,0.001843953,3.11e-05,-0.005548423,,,
5,1/9/2020,58.849998,-0.014507694,3.77e-05,-0.007340277,,,
6,1/10/2020,58.990002,0.002376172,4.46e-05,-0.005720869,,,
7,1/13/2020,59.150002,0.002708652,4.69e-05,-0.004516652,,,
8,1/14/2020,59.040001,-0.001861427,4.18e-05,-0.004184749,,,
9,1/15/2020,59.099998,0.001015693,3.98e-05,-0.003606922,,,
10,1/16/2020,59.669998,0.009598457,5.15e-05,-0.002286384,,,
11,1/17/2020,60.130001,0.007679554,5.51e-05,-0.001380389,,,
12,1/21/2020,60.32,0.003154822,5.2e-05,-0.001002455,,,
13,1/22/2020,60.48,0.002649008,4.9e-05,-0.000721573,,,
14,1/23/2020,60.509998,0.000495876,4.56e-05,-0.000634613,,,
15,1/24/2020,60.279999,-0.00380825,4.32e-05,-0.000846189,,,
16,1/27/2020,59.91,-0.006156921,4.21e-05,-0.001178109,,,
17,1/28/2020,60.700001,0.013100278,5.09e-05,-0.000338204,,,
18,1/29/2020,59.529999,-0.019463344,6.73e-05,-0.001400712,,,
19,1/30/2020,59.360001,-0.002859755,6.39e-05,-0.001477504,,,
20,1/31/2020,59.439999,0.001346768,6.1e-05,-0.00133629,,,
21,2/3/2020,58.049999,-0.023662693,8.07e-05,-0.002399452,,,
22,2/4/2020,58.290001,0.004125878,7.89e-05,-0.002102846,,,
23,2/5/2020,59.130001,0.014307858,8.67e-05,-0.001389337,,,
24,2/6/2020,59.439999,0.005228957,8.48e-05,-0.001113575,,,
25,2/7/2020,59.939999,0.008376662,8.49e-05,-0.000733966,,,
26,2/10/2020,60.240002,0.004992571,8.28e-05,-0.000513714,,,
27,2/11/2020,58.689999,-0.026067279,0.000103064,-0.001460143,,,
28,2/12/2020,58.23,-0.007868652,0.000100798,-0.001689018,,,
29,2/13/2020,58.650002,0.007186923,9.99e-05,-0.001382951,,,
30,2/14/2020,58.509998,-0.002389964,9.66e-05,-0.001416518,,,
31,2/18/2020,57.91,-0.010307564,9.6e-05,-0.001703326,,,
32,2/19/2020,58.220001,0.005338874,9.45e-05,-0.001483257,,,
33,2/20/2020,58.09,-0.002235423,9.17e-05,-0.00150605,,,
34,2/21/2020,58.200001,0.00189184,8.93e-05,-0.001406112,,,
35,2/24/2020,57.990002,-0.003614756,8.69e-05,-0.001469216,,,
36,2/25/2020,57.119999,-0.015116316,8.95e-05,-0.001848302,,,
37,2/26/2020,57.139999,0.000350079,8.72e-05,-0.001788887,,,
38,2/27/2020,55.060001,-0.037080861,0.000116814,-0.002717623,,,
39,2/28/2020,54.16,-0.016480889,0.000118552,-0.003070527,,,
40,3/2/2020,57.32,0.056706974,0.000202688,-0.00157609,,,
41,3/3/2020,55.700001,-0.028669438,0.000215212,-0.002236903,,,
42,3/4/2020,58.119999,0.042529657,0.000256667,-0.001171032,,,
43,3/5/2020,57.16,-0.016655468,0.000256144,-0.001531136,,,
44,3/6/2020,56.869999,-0.005086409,0.000250603,-0.001611937,,,
45,3/9/2020,55.830002,-0.018456549,0.0002512,-0.001986262,,,
46,3/10/2020,56.52,0.012283163,0.000250069,-0.001676057,,,
47,3/11/2020,54.830002,-0.030357032,0.000261878,-0.002286291,,,
48,3/12/2020,51.200001,-0.068497974,0.000345853,-0.003665701,,,
49,3/13/2020,54.169998,0.056387661,0.000410892,-0.002440122,,,
50,3/16/2020,50.990002,-0.060497638,0.00046874,-0.003601272,,,
51,3/17/2020,54.310001,0.063078816,0.000545021,-0.002293819,,,
52,3/18/2020,54.32,0.000184093,0.000534655,-0.002246167,,,
53,3/19/2020,53.619999,-0.012970369,0.000526696,-0.002448511,,,
54,3/20/2020,51.799999,-0.034531984,0.000535652,-0.003042649,,,
55,3/23/2020,50.310001,-0.029186246,0.000538114,-0.003517987,,,
56,3/24/2020,49.990002,-0.006380859,0.000528648,-0.00356911,,,
57,3/25/2020,49.939999,-0.001000761,0.000519487,-0.003524051,,,
58,3/26/2020,53.540001,0.069606792,0.00060115,-0.002263175,,,
59,3/27/2020,52.77,-0.014486209,0.00059345,-0.002470345,,,
60,3/30/2020,54.77,0.037199751,0.000609351,-0.001809176,,,
61,3/31/2020,53.73,-0.019171094,0.000604222,-0.002093798,,,
62,4/1/2020,52.919998,-0.015190203,0.000597198,-0.00230503,,,
63,4/2/2020,55.25,0.043087039,0.000619905,-0.001584521,,,
64,4/3/2020,54.700001,-0.010004613,0.00061131,-0.001716085,54.42924107319267,53.739226428451346,52.04315636485413
65,4/6/2020,56.700001,0.035910501,0.000623351,-0.001137215,53.88384692864133,53.2084787213234,51.545325092492504
66,4/7/2020,56.98,0.004926101,0.000614455,-0.001045346,55.881994061519585,55.17236118015647,53.424866396112186
67,4/8/2020,57.799999,0.014288429,0.000608741,-0.000816484,56.16768471535189,55.458396523957965,53.714443074470616
68,4/9/2020,57.439999,-0.006247851,0.000600216,-0.000896357,56.99158243658093,56.27933828214864,54.517235088127315
69,4/13/2020,56.669998,-0.013495972,0.000593785,-0.00107896,56.64235892650036,55.934315488134736,54.200988562981586
70,4/14/2020,58.139999,0.025608943,0.000595332,-0.000697704,55.87404580213406,55.18046834261472,53.47225495858831
71,4/15/2020,56.93,-0.021031435,0.000592688,-0.000984095,57.34174547744763,56.630392519092275,54.87669377549081
72,4/16/2020,57.66,0.012741249,0.000587036,-0.000793465,56.135202596080646,55.44249440387023,53.71973002718194
73,4/17/2020,58.459999,0.01377905,0.000581864,-0.000593842,56.86924830687064,56.16901843770639,54.43617512236226
74,4/20/2020,58.130001,-0.005660844,0.000574343,-0.000662315,57.67087455572961,56.96403007307397,55.216935298568366
75,4/21/2020,56.82,-0.022793522,0.000573129,-0.000957397,57.34834667281451,56.65159356832196,54.935286488061294
76,4/22/2020,57.990002,0.02038224,0.000571501,-0.000676613,56.0404162496498,55.35940565294098,53.68635009992824
77,4/23/2020,57.59,-0.006921675,0.000564578,-0.000757717,57.20976031367496,56.51317409504558,54.7967373886461
78,4/24/2020,57.93,0.005886444,0.000557899,-0.000672536,56.81845056465623,56.13105150687663,54.435814266780675
79,4/27/2020,57.810001,-0.002073597,0.000550861,-0.000690271,57.163937864951265,56.477986026709395,54.77983696108664
80,4/28/2020,57.830002,0.000345918,0.000543989,-0.000677318,57.04607723183551,56.36331896501771,54.683877295100864
81,4/29/2020,58.119999,0.005002115,0.000537666,-0.000607202,57.07566254026359,56.40049232869114,54.72460790108778
82,4/30/2020,57.450001,-0.0115948,0.000532564,-0.000741197,57.368098792554406,56.689420765003625,55.023328330044386
83,5/1/2020,56.830002,-0.010850631,0.000527364,-0.000862998,56.70434531738807,56.03883926235994,54.39808748073683
84,5/4/2020,56.240002,-0.010436107,0.000522164,-0.000976963,56.09143373773283,55.43460327600729,53.81984537811848
85,5/5/2020,56.509998,0.004789295,0.000516407,-0.000909125,55.500025516987286,54.85114249458242,53.26177538993851
86,5/6/2020,55.639999,-0.015515229,0.000512854,-0.001078963,55.77658870023146,55.130223254924395,53.5413600461324
87,5/7/2020,55.580002,-0.001078889,0.000506959,-0.001078962,54.912034134669376,54.27929384229599,52.717609858320714
88,5/8/2020,57.0,0.025227808,0.000508973,-0.000780022,54.853063271930395,54.22250419805249,52.670559187207125
89,5/11/2020,56.400002,-0.010582074,0.000504322,-0.000890157,56.272368915146515,55.62733248424951,54.03721871652435
